measure,location,sex,cause,rei,val
DALYs,Central Sub-Saharan Africa,Male,Neurological disorders,High body-mass index,3635
Deaths,Australasia,Both,Diabetes and kidney diseases,High body-mass index,3635
DALYs,Eastern Europe,Both,Diabetes and kidney diseases,Other environmental risks,3638
Deaths,Central Europe,Female,Diabetes and kidney diseases,Dietary risks,3641
Deaths,Southern Sub-Saharan Africa,Male,Enteric infections,Child and maternal malnutrition,3641
DALYs,Southern Latin America,Both,Sense organ diseases,Tobacco,3649
DALYs,Eastern Europe,Both,Other infectious diseases,Child and maternal malnutrition,3650
Deaths,High-income Asia Pacific,Both,Digestive diseases,Drug use,3651
Deaths,Eastern Europe,Both,Diabetes and kidney diseases,Air pollution,3651
Deaths,World Bank Low Income,Both,Unintentional injuries,Alcohol use,3651
Deaths,Central Asia,Both,Substance use disorders,Alcohol use,3652
Deaths,Southern Sub-Saharan Africa,Both,Cardiovascular diseases,Other environmental risks,3653
DALYs,Southern Latin America,Female,Cancer,Other environmental risks,3656
Deaths,Western Sub-Saharan Africa,Female,Respiratory infections and tuberculosis,High fasting plasma glucose,3657
DALYs,World Bank High Income,Female,Other infectious diseases,Child and maternal malnutrition,3658
Deaths,Central Asia,Male,Respiratory infections and tuberculosis,Air pollution,3661
Deaths,United Kingdom,Both,Respiratory infections and tuberculosis,Air pollution,3662
Deaths,Western Sub-Saharan Africa,Male,Cancer,Air pollution,3667
DALYs,Central Europe,Female,Substance use disorders,Childhood maltreatment,3667
Deaths,World Bank Lower Middle Income,Both,Transport injuries,Tobacco,3672
Deaths,North Africa and Middle East,Male,Self-harm,Drug use,3681
Deaths,Caribbean,Both,Cancer,Alcohol use,3685
Deaths,Southern Latin America,Male,Digestive diseases,Alcohol use,3691
Deaths,High-income Asia Pacific,Male,Cardiovascular diseases,Other environmental risks,3693
DALYs,Andean Latin America,Female,Sense organ diseases,High body-mass index,3694
Deaths,Eastern Sub-Saharan Africa,Male,Transport injuries,Alcohol use,3696
Deaths,Southern Latin America,Female,Chronic respiratory diseases,Tobacco,3698
DALYs,Greece,Both,Digestive diseases,Drug use,3708
Deaths,Central Asia,Both,Respiratory infections and tuberculosis,Alcohol use,3708
DALYs,Andean Latin America,Male,Sexually transmitted infections excluding HIV,Unsafe sex,3718
Deaths,Southeast Asia,Male,Digestive diseases,Tobacco,3724
Deaths,United Kingdom,Both,Chronic respiratory diseases,Occupational risks,3726
Deaths,Central Sub-Saharan Africa,Both,Chronic respiratory diseases,Tobacco,3728
Deaths,United Kingdom,Female,Neurological disorders,Tobacco,3729
Deaths,Oceania,Female,Cardiovascular diseases,High fasting plasma glucose,3730
DALYs,Central Latin America,Male,Other infectious diseases,Child and maternal malnutrition,3732
Deaths,Tropical Latin America,Male,Self-harm,Alcohol use,3734
DALYs,High-income Asia Pacific,Female,HIV/AIDS,Unsafe sex,3734
DALYs,Central Latin America,Female,Interpersonal violence,Low bone mineral density,3755
DALYs,Oceania,Male,Diabetes and kidney diseases,Low physical activity,3756
Deaths,Greece,Both,Cardiovascular diseases,Low physical activity,3757
DALYs,High-income Asia Pacific,Female,Sense organ diseases,Tobacco,3758
DALYs,Southern Sub-Saharan Africa,Male,Sense organ diseases,High fasting plasma glucose,3768
Deaths,Western Europe,Female,Unintentional injuries,Alcohol use,3770
Deaths,Southern Sub-Saharan Africa,Male,Interpersonal violence,Alcohol use,3772
Deaths,Tropical Latin America,Male,Diabetes and kidney diseases,Tobacco,3773
DALYs,Central Sub-Saharan Africa,Female,Cancer,Low physical activity,3778
DALYs,Southern Sub-Saharan Africa,Male,Mental disorders,Other environmental risks,3782
DALYs,Central Latin America,Both,Musculoskeletal disorders,Impaired kidney function,3784
Deaths,Southern Latin America,Female,Respiratory infections and tuberculosis,Tobacco,3785
Deaths,Tropical Latin America,Male,Nutritional deficiencies,Child and maternal malnutrition,3790
Deaths,High-income North America,Female,Substance use disorders,Alcohol use,3793
Deaths,East Asia,Male,Cancer,Low physical activity,3797
DALYs,Australasia,Male,HIV/AIDS,Unsafe sex,3797
Deaths,Central Europe,Male,Digestive diseases,Drug use,3797
DALYs,High-income Asia Pacific,Both,Interpersonal violence,Low bone mineral density,3805
DALYs,East Asia,Both,Interpersonal violence,Tobacco,3807
Deaths,Caribbean,Female,Neonatal disorders,Child and maternal malnutrition,3807
Deaths,East Asia,Both,Respiratory infections and tuberculosis,High fasting plasma glucose,3815
DALYs,Central Sub-Saharan Africa,Male,Cancer,Other environmental risks,3817
Deaths,Southern Sub-Saharan Africa,Female,Respiratory infections and tuberculosis,Child and maternal malnutrition,3821
Deaths,Australasia,Both,Neurological disorders,High body-mass index,3823
Deaths,World Bank High Income,Both,Unintentional injuries,Tobacco,3824
DALYs,Southern Sub-Saharan Africa,Male,Transport injuries,Tobacco,3825
Deaths,High-income North America,Male,Unintentional injuries,Alcohol use,3826
Deaths,Eastern Sub-Saharan Africa,Both,Self-harm,Alcohol use,3833
Deaths,Eastern Europe,Female,HIV/AIDS,Unsafe sex,3833
Deaths,Western Europe,Both,Transport injuries,Alcohol use,3833
DALYs,Central Europe,Both,Respiratory infections and tuberculosis,"Unsafe water, sanitation, and handwashing",3835
Deaths,East Asia,Female,Nutritional deficiencies,Child and maternal malnutrition,3837
DALYs,Australasia,Male,Nutritional deficiencies,Child and maternal malnutrition,3848
DALYs,Greece,Male,Respiratory infections and tuberculosis,Air pollution,3848
Deaths,Central Latin America,Male,Diabetes and kidney diseases,Alcohol use,3849
Deaths,Eastern Sub-Saharan Africa,Female,Cancer,Dietary risks,3850
DALYs,High-income Asia Pacific,Male,Mental disorders,Other environmental risks,3850
Deaths,High-income Asia Pacific,Female,Chronic respiratory diseases,Tobacco,3853
Deaths,World Bank High Income,Both,Enteric infections,"Unsafe water, sanitation, and handwashing",3854
Deaths,Australasia,Female,Diabetes and kidney diseases,High fasting plasma glucose,3856
Deaths,Southern Sub-Saharan Africa,Female,Diabetes and kidney diseases,Air pollution,3856
Deaths,Western Sub-Saharan Africa,Male,Diabetes and kidney diseases,Air pollution,3857
DALYs,World Bank High Income,Both,Other infectious diseases,Drug use,3860
Deaths,Eastern Sub-Saharan Africa,Female,Cancer,Alcohol use,3865
Deaths,Southern Sub-Saharan Africa,Male,Cancer,Alcohol use,3871
Deaths,High-income North America,Female,Cancer,Drug use,3876
Deaths,World Bank Low Income,Both,Neurological disorders,High body-mass index,3879
DALYs,Western Sub-Saharan Africa,Male,Transport injuries,Tobacco,3880
Deaths,East Asia,Both,Digestive diseases,High body-mass index,3884
Deaths,World Bank Low Income,Female,Neurological disorders,High fasting plasma glucose,3884
Deaths,Central Sub-Saharan Africa,Male,Diabetes and kidney diseases,High systolic blood pressure,3885
DALYs,Greece,Female,Chronic respiratory diseases,Occupational risks,3886
Deaths,North Africa and Middle East,Both,Other infectious diseases,Child and maternal malnutrition,3898
Deaths,World Bank Low Income,Female,Transport injuries,Occupational risks,3901
Deaths,Western Sub-Saharan Africa,Both,Transport injuries,Alcohol use,3901
Deaths,Eastern Europe,Both,Cancer,Drug use,3902
DALYs,Australasia,Both,Respiratory infections and tuberculosis,Air pollution,3902
DALYs,Tropical Latin America,Female,Respiratory infections and tuberculosis,High fasting plasma glucose,3904
Deaths,Andean Latin America,Male,Cancer,Tobacco,3909
Deaths,United Kingdom,Female,Chronic respiratory diseases,Air pollution,3914
Deaths,South Asia,Male,Cancer,Drug use,3918
Deaths,Central Latin America,Female,Neurological disorders,High fasting plasma glucose,3920
Deaths,Australasia,Male,Cancer,Occupational risks,3921
Deaths,High-income North America,Male,Transport injuries,Occupational risks,3923
Deaths,Caribbean,Male,HIV/AIDS,Unsafe sex,3926
Deaths,United Kingdom,Male,Chronic respiratory diseases,Air pollution,3927
Deaths,Western Sub-Saharan Africa,Both,Neurological disorders,High fasting plasma glucose,3929
DALYs,High-income North America,Male,Sense organ diseases,High fasting plasma glucose,3930
Deaths,North Africa and Middle East,Male,Transport injuries,Low bone mineral density,3934
DALYs,Southeast Asia,Female,Musculoskeletal disorders,Impaired kidney function,3938
Deaths,Eastern Sub-Saharan Africa,Both,Cancer,High fasting plasma glucose,3941
Deaths,Eastern Europe,Both,Transport injuries,Occupational risks,3942
Deaths,Eastern Europe,Male,Digestive diseases,Tobacco,3944
Deaths,Andean Latin America,Both,Cancer,Dietary risks,3945
Deaths,Eastern Europe,Both,Unintentional injuries,Low bone mineral density,3946
DALYs,Southern Latin America,Both,Respiratory infections and tuberculosis,High fasting plasma glucose,3953
Deaths,South Asia,Male,Diabetes and kidney diseases,Low physical activity,3954
Deaths,East Asia,Female,Cancer,Low physical activity,3960
Deaths,World Bank Lower Middle Income,Both,Sexually transmitted infections excluding HIV,Unsafe sex,3961
Deaths,Southern Latin America,Female,Cardiovascular diseases,Low physical activity,3966
Deaths,World Bank High Income,Male,Diabetes and kidney diseases,Other environmental risks,3966
Deaths,United Kingdom,Female,Cardiovascular diseases,Air pollution,3968
Deaths,Andean Latin America,Female,Diabetes and kidney diseases,High systolic blood pressure,3969
Deaths,Western Sub-Saharan Africa,Both,Unintentional injuries,Occupational risks,3970
Deaths,Tropical Latin America,Male,Neurological disorders,High body-mass index,3970
Deaths,Southern Sub-Saharan Africa,Male,Respiratory infections and tuberculosis,High fasting plasma glucose,3971
DALYs,United Kingdom,Both,Musculoskeletal disorders,Impaired kidney function,3973
Deaths,Oceania,Male,Diabetes and kidney diseases,High fasting plasma glucose,3974
Deaths,Western Europe,Female,Digestive diseases,High body-mass index,3978
Deaths,Andean Latin America,Male,Cardiovascular diseases,Tobacco,3980
Deaths,Caribbean,Female,Cancer,Tobacco,3983
Deaths,Greece,Both,Cardiovascular diseases,Impaired kidney function,3985
Deaths,Southern Latin America,Both,Neonatal disorders,Child and maternal malnutrition,3990
DALYs,Oceania,Female,Sexually transmitted infections excluding HIV,Unsafe sex,3993
Deaths,World Bank Low Income,Both,Substance use disorders,Drug use,3995
Deaths,Central Asia,Male,Digestive diseases,Drug use,3996
Deaths,Eastern Europe,Male,Diabetes and kidney diseases,High systolic blood pressure,4009
Deaths,North Africa and Middle East,Both,Diabetes and kidney diseases,Other environmental risks,4014
Deaths,Tropical Latin America,Male,Cancer,Occupational risks,4016
Deaths,Central Sub-Saharan Africa,Female,Chronic respiratory diseases,Air pollution,4017
Deaths,Central Sub-Saharan Africa,Male,Cardiovascular diseases,Impaired kidney function,4019
Deaths,Greece,Both,Diabetes and kidney diseases,High fasting plasma glucose,4028
Deaths,Central Sub-Saharan Africa,Female,Maternal disorders,Child and maternal malnutrition,4029
Deaths,Central Sub-Saharan Africa,Both,Maternal disorders,Child and maternal malnutrition,4029
DALYs,Eastern Sub-Saharan Africa,Both,Musculoskeletal disorders,Impaired kidney function,4029
DALYs,Oceania,Female,Musculoskeletal disorders,Tobacco,4029
DALYs,Central Europe,Both,Musculoskeletal disorders,Impaired kidney function,4040
Deaths,Western Sub-Saharan Africa,Male,Substance use disorders,Drug use,4041
DALYs,Western Sub-Saharan Africa,Female,Neurological disorders,Tobacco,4045
Deaths,North Africa and Middle East,Male,Chronic respiratory diseases,High body-mass index,4045
DALYs,Central Sub-Saharan Africa,Female,Substance use disorders,Childhood maltreatment,4046
Deaths,Eastern Sub-Saharan Africa,Both,Substance use disorders,Alcohol use,4046
Deaths,Oceania,Both,Chronic respiratory diseases,Tobacco,4047
DALYs,Caribbean,Female,Self-harm,Alcohol use,4053
DALYs,Australasia,Both,Sexually transmitted infections excluding HIV,Unsafe sex,4053
Deaths,United Kingdom,Both,Diabetes and kidney diseases,High body-mass index,4062
Deaths,Southern Latin America,Male,Cancer,Alcohol use,4062
Deaths,Eastern Sub-Saharan Africa,Female,Diabetes and kidney diseases,Air pollution,4064
DALYs,Western Sub-Saharan Africa,Male,Musculoskeletal disorders,Impaired kidney function,4068
Deaths,Australasia,Both,Cancer,Dietary risks,4079
Deaths,Central Sub-Saharan Africa,Both,Cardiovascular diseases,Other environmental risks,4082
Deaths,Central Latin America,Female,Cancer,High fasting plasma glucose,4082
DALYs,Southeast Asia,Female,Transport injuries,Tobacco,4090
Deaths,Andean Latin America,Both,Cardiovascular diseases,Low physical activity,4093
Deaths,High-income North America,Male,Interpersonal violence,Alcohol use,4095
Deaths,Oceania,Both,Neonatal disorders,Child and maternal malnutrition,4099
Deaths,Australasia,Male,Cardiovascular diseases,Tobacco,4106
DALYs,World Bank High Income,Male,Other infectious diseases,Child and maternal malnutrition,4106
Deaths,Western Sub-Saharan Africa,Both,Self-harm,Alcohol use,4107
DALYs,High-income North America,Male,Interpersonal violence,Low bone mineral density,4108
Deaths,World Bank Low Income,Both,Neurological disorders,Tobacco,4110
DALYs,Southern Latin America,Female,Respiratory infections and tuberculosis,"Unsafe water, sanitation, and handwashing",4111
Deaths,Central Asia,Female,Digestive diseases,Alcohol use,4112
Deaths,United Kingdom,Both,Diabetes and kidney diseases,High systolic blood pressure,4115
DALYs,High-income North America,Female,Respiratory infections and tuberculosis,"Unsafe water, sanitation, and handwashing",4115
DALYs,Central Europe,Female,Mental disorders,Other environmental risks,4117
DALYs,World Bank Low Income,Female,Interpersonal violence,Low bone mineral density,4118
DALYs,Eastern Europe,Female,Musculoskeletal disorders,Impaired kidney function,4120
Deaths,North Africa and Middle East,Both,Self-harm,Drug use,4121
Deaths,East Asia,Both,Diabetes and kidney diseases,Low physical activity,4121
Deaths,Oceania,Female,Diabetes and kidney diseases,High fasting plasma glucose,4121
Deaths,North Africa and Middle East,Female,Chronic respiratory diseases,High body-mass index,4122
Deaths,Central Latin America,Female,Enteric infections,"Unsafe water, sanitation, and handwashing",4123
Deaths,Andean Latin America,Male,Diabetes and kidney diseases,High systolic blood pressure,4128
DALYs,United Kingdom,Both,Sense organ diseases,Tobacco,4129
DALYs,Southern Latin America,Male,Mental disorders,Other environmental risks,4133
Deaths,Tropical Latin America,Both,Self-harm,Alcohol use,4134
Deaths,Western Sub-Saharan Africa,Female,Diabetes and kidney diseases,Air pollution,4146
Deaths,High-income Asia Pacific,Both,Respiratory infections and tuberculosis,Alcohol use,4151
DALYs,Caribbean,Both,Sense organ diseases,Tobacco,4151
DALYs,World Bank Lower Middle Income,Both,Interpersonal violence,Tobacco,4152
DALYs,Southern Latin America,Both,Sense organ diseases,High fasting plasma glucose,4153
DALYs,Caribbean,Female,Transport injuries,Low bone mineral density,4154
Deaths,World Bank Lower Middle Income,Female,Unintentional injuries,Occupational risks,4157
DALYs,Andean Latin America,Both,Digestive diseases,Tobacco,4157
DALYs,Oceania,Male,Cancer,Occupational risks,4157
DALYs,Caribbean,Both,Sense organ diseases,High body-mass index,4159
DALYs,Caribbean,Both,Substance use disorders,Childhood maltreatment,4162
Deaths,Southern Latin America,Male,Cardiovascular diseases,Impaired kidney function,4164
Deaths,Central Sub-Saharan Africa,Female,Respiratory infections and tuberculosis,High fasting plasma glucose,4173
Deaths,Western Europe,Both,Nutritional deficiencies,Child and maternal malnutrition,4174
Deaths,Central Latin America,Male,Enteric infections,"Unsafe water, sanitation, and handwashing",4174
DALYs,Southern Latin America,Male,Digestive diseases,High body-mass index,4186
Deaths,Southern Sub-Saharan Africa,Both,Interpersonal violence,Alcohol use,4186
Deaths,Greece,Male,Cardiovascular diseases,High body-mass index,4188
Deaths,Andean Latin America,Male,Neonatal disorders,Child and maternal malnutrition,4192
Deaths,High-income Asia Pacific,Both,Diabetes and kidney diseases,Air pollution,4195
DALYs,Western Europe,Female,Respiratory infections and tuberculosis,"Unsafe water, sanitation, and handwashing",4196
Deaths,Southeast Asia,Male,Transport injuries,Low bone mineral density,4199
DALYs,Western Sub-Saharan Africa,Both,Unintentional injuries,Tobacco,4200
DALYs,Greece,Female,Mental disorders,Childhood maltreatment,4200
Deaths,High-income North America,Both,Respiratory infections and tuberculosis,Alcohol use,4201
Deaths,World Bank Low Income,Male,Cancer,High fasting plasma glucose,4202
DALYs,Andean Latin America,Female,Interpersonal violence,Alcohol use,4205
Deaths,Southern Latin America,Female,Cardiovascular diseases,Air pollution,4206
DALYs,Western Sub-Saharan Africa,Both,Transport injuries,Tobacco,4207
Deaths,Australasia,Both,Cancer,High body-mass index,4213
Deaths,Central Europe,Male,Neurological disorders,High body-mass index,4217
Deaths,Western Europe,Female,Chronic respiratory diseases,Occupational risks,4221
Deaths,Southern Sub-Saharan Africa,Male,Respiratory infections and tuberculosis,Child and maternal malnutrition,4227
Deaths,Central Asia,Female,Diabetes and kidney diseases,Impaired kidney function,4228
Deaths,World Bank High Income,Male,Digestive diseases,High body-mass index,4233
DALYs,Southern Sub-Saharan Africa,Both,Sense organ diseases,Tobacco,4233
Deaths,North Africa and Middle East,Both,Cancer,Other environmental risks,4233
Deaths,Central Europe,Male,Diabetes and kidney diseases,Dietary risks,4238
Deaths,Central Sub-Saharan Africa,Female,HIV/AIDS,Intimate partner violence,4243
Deaths,Central Sub-Saharan Africa,Both,HIV/AIDS,Intimate partner violence,4243
DALYs,United Kingdom,Female,Digestive diseases,Tobacco,4244
Deaths,Southern Latin America,Female,Cancer,High body-mass index,4246
Deaths,Eastern Sub-Saharan Africa,Both,Transport injuries,Alcohol use,4251
DALYs,Oceania,Male,Mental disorders,Childhood maltreatment,4252
DALYs,Andean Latin America,Female,Cancer,Drug use,4265
Deaths,Western Europe,Female,Substance use disorders,Alcohol use,4269
DALYs,Greece,Male,Transport injuries,Occupational risks,4271
DALYs,High-income Asia Pacific,Female,Diabetes and kidney diseases,Other environmental risks,4272
Deaths,Global,Female,Neurological disorders,Alcohol use,4274
Deaths,Eastern Europe,Male,Chronic respiratory diseases,Occupational risks,4274
Deaths,World Bank Upper Middle Income,Female,Unintentional injuries,Alcohol use,4285
Deaths,Western Sub-Saharan Africa,Both,Substance use disorders,Alcohol use,4288
DALYs,Andean Latin America,Both,Sense organ diseases,Tobacco,4290
DALYs,High-income North America,Female,Sense organ diseases,High fasting plasma glucose,4290
Deaths,High-income North America,Both,Transport injuries,Occupational risks,4293
DALYs,Central Sub-Saharan Africa,Male,Cancer,Drug use,4301
DALYs,Southern Latin America,Male,Substance use disorders,Childhood maltreatment,4305
Deaths,Southeast Asia,Both,Digestive diseases,Tobacco,4305
Deaths,Southern Latin America,Female,Cancer,Unsafe sex,4306
Deaths,Southern Latin America,Both,Cancer,Unsafe sex,4306
Deaths,Central Asia,Male,Diabetes and kidney diseases,High body-mass index,4310
DALYs,Oceania,Female,Respiratory infections and tuberculosis,High fasting plasma glucose,4310
Deaths,Central Asia,Both,Cardiovascular diseases,Alcohol use,4311
Deaths,Southern Sub-Saharan Africa,Both,Cancer,High body-mass index,4311
DALYs,Australasia,Female,Cancer,Air pollution,4313
DALYs,United Kingdom,Male,Unintentional injuries,Tobacco,4316
Deaths,Eastern Sub-Saharan Africa,Both,Cancer,Air pollution,4326
DALYs,Australasia,Female,Cancer,Drug use,4328
Deaths,Andean Latin America,Male,Diabetes and kidney diseases,High body-mass index,4330
Deaths,Caribbean,Both,Chronic respiratory diseases,Tobacco,4342
DALYs,Southern Sub-Saharan Africa,Female,Cancer,Low physical activity,4342
Deaths,Western Europe,Female,Cancer,Other environmental risks,4345
DALYs,Central Asia,Male,Sense organ diseases,High fasting plasma glucose,4345
Deaths,Central Latin America,Male,Neurological disorders,Tobacco,4348
Deaths,Central Sub-Saharan Africa,Both,Diabetes and kidney diseases,Dietary risks,4354
DALYs,Central Sub-Saharan Africa,Male,Diabetes and kidney diseases,Other environmental risks,4357
Deaths,North Africa and Middle East,Both,Digestive diseases,Alcohol use,4360
Deaths,Andean Latin America,Both,Diabetes and kidney diseases,Dietary risks,4363
Deaths,World Bank Upper Middle Income,Male,Digestive diseases,High body-mass index,4370
Deaths,World Bank Lower Middle Income,Female,Transport injuries,Occupational risks,4372
Deaths,Australasia,Both,Chronic respiratory diseases,Tobacco,4372
Deaths,World Bank Lower Middle Income,Female,Digestive diseases,High body-mass index,4374
Deaths,Eastern Europe,Both,Digestive diseases,Tobacco,4375
Deaths,Central Asia,Male,Cancer,Alcohol use,4375
DALYs,Caribbean,Male,Respiratory infections and tuberculosis,High fasting plasma glucose,4378
Deaths,High-income North America,Female,Cancer,Air pollution,4379
DALYs,Greece,Female,Unintentional injuries,Alcohol use,4382
DALYs,Central Sub-Saharan Africa,Female,Other non-communicable diseases,Child and maternal malnutrition,4382
DALYs,Oceania,Female,Cancer,Alcohol use,4394
DALYs,Central Europe,Female,HIV/AIDS,Unsafe sex,4394
Deaths,Tropical Latin America,Female,Neurological disorders,Tobacco,4400
Deaths,Central Latin America,Male,Self-harm,Alcohol use,4400
Deaths,Eastern Europe,Female,Chronic respiratory diseases,Air pollution,4402
Deaths,Eastern Europe,Female,Diabetes and kidney diseases,Dietary risks,4402
Deaths,High-income North America,Both,Cancer,Low physical activity,4402
Deaths,Southeast Asia,Both,Diabetes and kidney diseases,Low physical activity,4406
DALYs,Tropical Latin America,Both,Interpersonal violence,Low bone mineral density,4407
DALYs,Central Europe,Male,Diabetes and kidney diseases,Other environmental risks,4411
DALYs,Australasia,Female,Unintentional injuries,Occupational risks,4415
Deaths,Southeast Asia,Both,Substance use disorders,Drug use,4415
Deaths,Central Asia,Male,Cancer,Dietary risks,4422
DALYs,Central Asia,Female,Other infectious diseases,Child and maternal malnutrition,4433
Deaths,World Bank Upper Middle Income,Male,Transport injuries,Tobacco,4438
Deaths,South Asia,Female,Interpersonal violence,Intimate partner violence,4439
Deaths,South Asia,Both,Interpersonal violence,Intimate partner violence,4439
DALYs,Andean Latin America,Both,Cancer,Low physical activity,4440
DALYs,World Bank Low Income,Male,Interpersonal violence,Low bone mineral density,4442
Deaths,South Asia,Both,Cancer,Low physical activity,4443
DALYs,Greece,Female,Substance use disorders,Drug use,4444
DALYs,Southern Latin America,Male,Cancer,Low physical activity,4459
Deaths,South Asia,Female,Neurological disorders,Tobacco,4459
DALYs,Oceania,Both,Transport injuries,Low bone mineral density,4463
Deaths,United Kingdom,Both,Digestive diseases,Alcohol use,4463
Deaths,Caribbean,Male,Cardiovascular diseases,Impaired kidney function,4463
Deaths,High-income Asia Pacific,Female,Diabetes and kidney diseases,High body-mass index,4465
DALYs,North Africa and Middle East,Female,Musculoskeletal disorders,Impaired kidney function,4466
Deaths,World Bank High Income,Female,Transport injuries,Low bone mineral density,4469
Deaths,Western Europe,Female,Cancer,Low physical activity,4472
Deaths,Western Sub-Saharan Africa,Female,Cancer,Alcohol use,4472
Deaths,Central Latin America,Female,Diabetes and kidney diseases,Tobacco,4473
Deaths,Central Europe,Both,Chronic respiratory diseases,Occupational risks,4474
Deaths,Tropical Latin America,Male,Diabetes and kidney diseases,Air pollution,4482
Deaths,Southeast Asia,Female,Neurological disorders,Tobacco,4486
Deaths,Central Sub-Saharan Africa,Male,Cancer,Tobacco,4489
Deaths,Southeast Asia,Male,Chronic respiratory diseases,High body-mass index,4499
Deaths,Southeast Asia,Male,Cancer,Drug use,4499
DALYs,United Kingdom,Both,Enteric infections,Child and maternal malnutrition,4506
Deaths,North Africa and Middle East,Both,Nutritional deficiencies,Child and maternal malnutrition,4512
Deaths,Southeast Asia,Male,Interpersonal violence,Alcohol use,4514
DALYs,United Kingdom,Both,Mental disorders,Other environmental risks,4515
Deaths,Central Latin America,Female,Nutritional deficiencies,Child and maternal malnutrition,4517
Deaths,East Asia,Female,Diabetes and kidney diseases,Other environmental risks,4521
Deaths,Western Sub-Saharan Africa,Both,Substance use disorders,Drug use,4537
Deaths,Caribbean,Both,Enteric infections,"Unsafe water, sanitation, and handwashing",4542
Deaths,World Bank Low Income,Male,Digestive diseases,Drug use,4544
Deaths,Central Latin America,Both,Self-harm,Alcohol use,4545
Deaths,Tropical Latin America,Both,Enteric infections,"Unsafe water, sanitation, and handwashing",4547
Deaths,Southern Sub-Saharan Africa,Male,Diabetes and kidney diseases,High systolic blood pressure,4547
Deaths,Oceania,Male,Cardiovascular diseases,High body-mass index,4551
Deaths,South Asia,Male,Unintentional injuries,Tobacco,4558
Deaths,World Bank Low Income,Female,Cancer,High fasting plasma glucose,4560
Deaths,High-income North America,Both,Nutritional deficiencies,Child and maternal malnutrition,4562
Deaths,Southeast Asia,Both,Other infectious diseases,Child and maternal malnutrition,4567
DALYs,East Asia,Male,Other infectious diseases,Drug use,4570
DALYs,Central Asia,Female,Cancer,Low physical activity,4575
Deaths,Western Sub-Saharan Africa,Both,Cancer,High fasting plasma glucose,4578
Deaths,Eastern Sub-Saharan Africa,Female,Respiratory infections and tuberculosis,High fasting plasma glucose,4586
Deaths,World Bank Low Income,Male,Cancer,High body-mass index,4590
DALYs,Central Asia,Both,Diabetes and kidney diseases,Other environmental risks,4590
Deaths,World Bank High Income,Male,Nutritional deficiencies,Child and maternal malnutrition,4606
Deaths,Eastern Sub-Saharan Africa,Both,Cancer,High body-mass index,4609
Deaths,North Africa and Middle East,Female,Diabetes and kidney diseases,Tobacco,4619
Deaths,Western Sub-Saharan Africa,Male,Chronic respiratory diseases,Occupational risks,4621
Deaths,High-income North America,Female,Diabetes and kidney diseases,Air pollution,4621
Deaths,Australasia,Male,Diabetes and kidney diseases,High fasting plasma glucose,4622
DALYs,Western Europe,Both,Other non-communicable diseases,Child and maternal malnutrition,4624
Deaths,Andean Latin America,Both,Digestive diseases,Alcohol use,4626
Deaths,High-income North America,Male,Diabetes and kidney diseases,Tobacco,4627
DALYs,Southern Sub-Saharan Africa,Both,Transport injuries,Tobacco,4631
DALYs,Oceania,Female,Diabetes and kidney diseases,Low physical activity,4635
Deaths,World Bank Upper Middle Income,Female,Self-harm,Alcohol use,4636
Deaths,Caribbean,Both,Respiratory infections and tuberculosis,Air pollution,4644
Deaths,Southern Sub-Saharan Africa,Both,Cancer,Dietary risks,4647
DALYs,High-income North America,Male,Respiratory infections and tuberculosis,"Unsafe water, sanitation, and handwashing",4649
Deaths,Caribbean,Female,Cardiovascular diseases,Low physical activity,4658
Deaths,South Asia,Male,Neurological disorders,Alcohol use,4670
Deaths,East Asia,Male,Diabetes and kidney diseases,Alcohol use,4679
Deaths,Central Asia,Male,Respiratory infections and tuberculosis,Tobacco,4685
DALYs,High-income Asia Pacific,Female,Digestive diseases,Tobacco,4693
Deaths,Australasia,Female,Cancer,Tobacco,4695
Deaths,Central Europe,Female,Chronic respiratory diseases,Air pollution,4701
DALYs,High-income North America,Female,Sense organ diseases,High body-mass index,4702
Deaths,Southern Sub-Saharan Africa,Female,Cardiovascular diseases,Alcohol use,4703
Deaths,Central Asia,Both,Diabetes and kidney diseases,High systolic blood pressure,4703
Deaths,Central Europe,Both,Cancer,Other environmental risks,4705
Deaths,Western Sub-Saharan Africa,Male,Transport injuries,Occupational risks,4709
Deaths,World Bank Low Income,Female,Unintentional injuries,Low bone mineral density,4710
Deaths,Southern Sub-Saharan Africa,Both,Respiratory infections and tuberculosis,"Unsafe water, sanitation, and handwashing",4714
Deaths,East Asia,Male,HIV/AIDS,Drug use,4716
Deaths,Tropical Latin America,Female,Cancer,Alcohol use,4719
Deaths,South Asia,Female,Diabetes and kidney diseases,Low physical activity,4720
Deaths,Southeast Asia,Both,Interpersonal violence,Alcohol use,4721
DALYs,Central Europe,Male,Mental disorders,Other environmental risks,4721
Deaths,Central Europe,Female,Digestive diseases,Alcohol use,4730
Deaths,Australasia,Female,Cardiovascular diseases,High fasting plasma glucose,4734
DALYs,Australasia,Female,Transport injuries,Alcohol use,4735
Deaths,Eastern Europe,Male,Cancer,Other environmental risks,4747
DALYs,Australasia,Female,Cancer,Low physical activity,4747
Deaths,Southern Sub-Saharan Africa,Female,Respiratory infections and tuberculosis,Alcohol use,4751
Deaths,Andean Latin America,Both,Cardiovascular diseases,Impaired kidney function,4751
Deaths,Southern Latin America,Both,Digestive diseases,Alcohol use,4751
Deaths,Central Latin America,Female,Cancer,Dietary risks,4754
